Frame,A_x,A_y,A_Diameter,B_x,B_y,B_Diameter,C_x,C_y,C_Diameter,D_x,D_y,D_Diameter
85,810.0,384.0,26.0,1026.0,420.0,28.0,932.0,404.0,28.0,1046.0,368.0,24.0
86,846.0,370.0,26.0,988.0,404.0,28.0,892.0,420.0,28.0,1082.0,380.0,26.0
87,880.0,358.0,24.0,952.0,390.0,26.0,850.0,438.0,32.0,1122.0,394.0,28.0
88,912.0,346.0,24.0,920.0,376.0,26.0,804.0,456.0,34.0,1168.0,408.0,28.0
89,940.0,336.0,22.0,890.0,364.0,24.0,752.0,478.0,36.0,1216.0,424.0,32.0
90,968.0,328.0,20.0,864.0,352.0,24.0,692.0,502.0,38.0,1268.0,440.0,40.0
91,592.0,428.0,32.0,1196.0,538.0,42.0,1094.0,366.0,24.0,952.0,316.0,22.0
92,646.0,410.0,28.0,1132.0,510.0,36.0,1068.0,378.0,26.0,980.0,324.0,22.0
93,696.0,396.0,28.0,1078.0,486.0,36.0,1038.0,392.0,26.0,1008.0,334.0,22.0
94,740.0,380.0,26.0,1030.0,462.0,32.0,1006.0,408.0,28.0,1040.0,344.0,22.0
95,780.0,368.0,26.0,988.0,442.0,32.0,970.0,424.0,28.0,1074.0,354.0,24.0
96,816.0,356.0,24.0,948.0,424.0,28.0,932.0,442.0,32.0,1110.0,364.0,28.0
97,852.0,344.0,24.0,912.0,408.0,28.0,888.0,462.0,32.0,1150.0,376.0,26.0
98,882.0,334.0,22.0,880.0,392.0,26.0,840.0,484.0,34.0,1192.0,388.0,28.0
99,912.0,326.0,20.0,852.0,378.0,26.0,786.0,510.0,38.0,1238.0,402.0,32.0
100,938.0,316.0,22.0,824.0,366.0,26.0,724.0,538.0,42.0,1288.0,418.0,34.0
101,578.0,400.0,44.0,1156.0,580.0,44.0,1138.0,382.0,26.0,980.0,306.0,18.0
102,626.0,396.0,34.0,1090.0,548.0,38.0,1112.0,396.0,28.0,1006.0,314.0,20.0
103,674.0,376.0,32.0,1036.0,518.0,38.0,1084.0,412.0,28.0,1034.0,322.0,20.0
104,716.0,366.0,26.0,986.0,492.0,34.0,1052.0,428.0,32.0,1066.0,330.0,22.0
105,756.0,352.0,28.0,942.0,468.0,34.0,1016.0,448.0,32.0,1098.0,340.0,24.0
106,792.0,342.0,24.0,904.0,448.0,32.0,976.0,468.0,34.0,1134.0,350.0,24.0
